Forest,City
77,71
77,72
78,73
78,74
81,75
81,77
82,78
82,79
82,79
82,79
82,79
83,80
83,80
84,80
84,81
84,81
84,81
85,82
86,82
86,82
86,82
86,84
86,84
87,84
87,84
87,84
87,84
87,85
87,85
87,85
89,85
89,85
89,85
89,86
89,86
89,87
89,88
90,90
90,91
90,94
91,
91,
91,
91,
91,
91,
91,
91,
91,
91,
93,
93,
93,
93,
93,
93,
94,
94,
94,
94,
94,
94,
94,
94,
94,
94,
94,
94,
95,
95,
95,
95,
95,
96,
96,
96,
96,
96,
96,
97,
97,
97,
97,
97,
97,
97,
97,
97,
98,
99,
100,
100,
100,
100,
100,
100,
100,
100,
100,
101,
101,
101,
101,
101,
101,
102,
102,
102,
102,
102,
102,
103,
103,
104,
104,
104,
105,
107,
